country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes
UK,2004,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total budget for science and innovation,Total budget for science and innovation,1600.0,thousand,GBP,science_agency,review,0.9,2004_UK.pdf,12,gpt-4o-mini,extract,Includes funding for science and innovation initiatives.
UK,2004,section_total,UKRI,UK Research and Innovation,UK Research and Innovation,,Total operating budget for UKRI,Total operating budget for UKRI,1200.0,thousand,GBP,science_agency,review,0.9,2004_UK.pdf,12,gpt-4o-mini,extract,Includes funding for various research councils.
UK,2004,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Improvements to R&D tax credit schemes,Improvements to R&D tax credit schemes,-15000.0,thousand,GBP,innovation_instruments,review,0.5,2004_UK.pdf,196,gpt-4o-mini,extract,"Amount -1.500e+07 GBP out of plausible range [1e+04, 1e+11]"
UK,2004,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Improvements to R&D tax credit schemes,Improvements to R&D tax credit schemes,-25000.0,thousand,GBP,innovation_instruments,review,0.5,2004_UK.pdf,196,gpt-4o-mini,extract,"Amount -2.500e+07 GBP out of plausible range [1e+04, 1e+11]"
UK,2004,line_item,MRC,Medical Research Council,Medical Research Council,,Funding for medical research,Funding for medical research,1200.0,thousand,GBP,science_agency,review,0.9,2004_UK.pdf,69,gpt-4o-mini,extract,Total includes NHS funding for R&D.
UK,2004,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,National Technology Strategy,National Technology Strategy,150000.0,thousand,GBP,innovation_instruments,include,0.8,2004_UK.pdf,69,gpt-4o-mini,extract,Funding for innovation support.
UK,2004,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,R&D tax credits,R&D tax credits,35000.0,thousand,GBP,unclear,review,0.2,2004_UK.pdf,71,gpt-4o-mini,extract,Additional support for R&D through tax credits.
UK,2005,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Investment in the UK Stem Cell Initiative,Investment in the UK Stem Cell Initiative,,billion,GBP,direct_rd,review,0.4,2005_UK.pdf,12-64,gpt-4o-mini,extract,Part of the ten-year Science and Innovation Investment Framework | no_amount
UK,2005,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Local Enterprise Growth Initiative worth £150 million per year by 2008-9,Local Enterprise Growth Initiative worth £150 million per year by 2008-9,150000.0,thousand,GBP,innovation_instruments,review,0.8,2005_UK.pdf,12-64,gpt-4o-mini,extract,Focus on enterprise development
UK,2005,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Support for the Employer Training Pilots,Support for the Employer Training Pilots,65000.0,thousand,GBP,unclear,review,0.2,2005_UK.pdf,12-64,gpt-4o-mini,extract,"Funding for training, not direct R&D"
UK,2005,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total budget for science and innovation,Total budget for science and innovation,,billion,GBP,science_agency,review,0.4,2005_UK.pdf,12-64,gpt-4o-mini,extract,Total includes non-R&D components | no_amount
UK,2005,line_item,Trade and Industry,Trade and Industry,Trade and Industry,,R&D Tax Credits,R&D Tax Credits,450000.0,thousand,GBP,unclear,review,0.2,2005_UK.pdf,216,gpt-4o-mini,extract,
UK,2005,section_total,Trade and Industry,Trade and Industry,Trade and Industry,,Total Resource Budget DEL,Total Resource Budget DEL,5300.0,thousand,GBP,science_agency,review,1.0,2005_UK.pdf,269,gpt-4o-mini,extract,
UK,2005,line_item,,Research Councils (pre-UKRI),Research Councils (pre-UKRI),,Additional funding for clinical research,Additional funding for clinical research,25000.0,thousand,GBP,science_agency,include,1.0,2005_UK.pdf,71,gpt-4o-mini,targeted_recovery,Part of the Medical Research Council’s budget allocation.
UK,2005,line_item,MRC,Medical Research Council,Medical Research Council,,"Additional funding of £25 million for clinical research, as part of the Medical Research Council’s £1.5 billion budget allocation over the period","Additional funding of £25 million for clinical research, as part of the Medical Research Council’s £1.5 billion budget allocation over the period",25000.0,thousand,GBP,direct_rd,review,1.0,2005_UK.pdf,71,gpt-4o-mini,extract,Part of the overall budget for medical R&D
UK,2005,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Funding for energy R&D from the Science Budget will rise from £40 million per year to £70 million per year by 2007-08,Funding for energy R&D from the Science Budget will rise from £40 million per year to £70 million per year by 2007-08,70000.0,thousand,GBP,direct_rd,review,1.0,2005_UK.pdf,71,gpt-4o-mini,extract,Increase in funding for energy R&D
UK,2005,line_item,,Research Councils (pre-UKRI),Research Councils (pre-UKRI),,Health of key disciplines,Health of key disciplines,60000.0,thousand,GBP,science_agency,include,1.0,2005_UK.pdf,71,gpt-4o-mini,targeted_recovery,Funding to underpin the health of key disciplines.
UK,2005,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Investment of over £1 billion over the period to ensure the sustainability of university research and infrastructure,Investment of over £1 billion over the period to ensure the sustainability of university research and infrastructure,1000.0,thousand,GBP,research_infrastructure,review,1.0,2005_UK.pdf,71,gpt-4o-mini,extract,Includes funding for university research and infrastructure
UK,2005,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Over £300 million to support knowledge transfer and business-university collaboration,Over £300 million to support knowledge transfer and business-university collaboration,300000.0,thousand,GBP,innovation_instruments,review,1.0,2005_UK.pdf,71,gpt-4o-mini,extract,Supports collaboration between businesses and universities
UK,2005,line_item,,Research Councils (pre-UKRI),Research Councils (pre-UKRI),,Support knowledge transfer and collaboration,Support knowledge transfer and collaboration,300000.0,thousand,GBP,science_agency,include,1.0,2005_UK.pdf,71,gpt-4o-mini,targeted_recovery,Funding to support knowledge transfer and business-university collaboration.
UK,2005,line_item,,Research Councils (pre-UKRI),Research Councils (pre-UKRI),,Sustainability of university research and infrastructure,Sustainability of university research and infrastructure,1000.0,thousand,GBP,science_agency,include,1.0,2005_UK.pdf,71,gpt-4o-mini,targeted_recovery,Investment over the period to ensure sustainability.
UK,2005,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total budget for science and innovation,Total budget for science and innovation,1000.0,thousand,GBP,science_agency,review,1.0,2005_UK.pdf,71,gpt-4o-mini,extract,Total includes R&D components
UK,2005,program_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,"Science Research Infrastructure Fund, which provides capital funding of £500 million per annum to renew university infrastructure","Science Research Infrastructure Fund, which provides capital funding of £500 million per annum to renew university infrastructure",500000.0,thousand,GBP,research_infrastructure,include,1.0,2005_UK.pdf,72,gpt-4o-mini,extract,Capital funding for university infrastructure renewal
UK,2006,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Extending the scope of R&D tax credits,Extending the scope of R&D tax credits,0.0,thousand,GBP,direct_rd,review,0.5,2006_UK.pdf,198,gpt-4o-mini,extract,"R&D tax credits are a direct support for R&D activities. | Amount 0.000e+00 GBP out of plausible range [1e+04, 1e+11]"
UK,2006,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total budget for R&D,Total budget for R&D,,billion,GBP,science_agency,review,0.4,2006_UK.pdf,198,gpt-4o-mini,extract,Total budget not specified in detail. | no_amount
UK,2006,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,R&D tax credits,R&D tax credits,480000.0,thousand,GBP,unclear,review,0.2,2006_UK.pdf,223,gpt-4o-mini,extract,Specific line item for R&D tax credits.
UK,2006,line_item,UKRI,UK Research and Innovation,UK Research and Innovation,,Funding for the Industrial Strategy Challenge Fund,Funding for the Industrial Strategy Challenge Fund,,,GBP,direct_rd,review,0.4,2006_UK.pdf,41,gpt-4o-mini,extract,Supports R&D in key industrial sectors. | no_amount
UK,2006,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,R&D support for mid-sized companies,R&D support for mid-sized companies,,,GBP,innovation_instruments,review,0.4,2006_UK.pdf,41,gpt-4o-mini,extract,Part of the measures to enhance productivity. | no_amount
UK,2006,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Single health research fund,Single health research fund,1000.0,thousand,GBP,direct_rd,include,1.0,2006_UK.pdf,41,gpt-4o-mini,extract,Part of the ten-year Science and Innovation Investment framework.
UK,2006,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total budget for science and innovation,Total budget for science and innovation,1000.0,thousand,GBP,science_agency,review,1.0,2006_UK.pdf,41,gpt-4o-mini,extract,Includes funding for the science budget and innovation initiatives.
UK,2006,section_total,UKRI,UK Research and Innovation,UK Research and Innovation,,Total operating budget for UKRI,Total operating budget for UKRI,1600.0,thousand,GBP,science_agency,review,1.0,2006_UK.pdf,41,gpt-4o-mini,extract,Includes funding for various research councils.
UK,2006,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total UK science spending,Total UK science spending,5400.0,thousand,GBP,science_agency,review,1.0,2006_UK.pdf,68,gpt-4o-mini,extract,Total includes R&D components
UK,2006,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Additional investment in science and innovation,Additional investment in science and innovation,1000.0,thousand,GBP,direct_rd,review,1.0,2006_UK.pdf,69,gpt-4o-mini,extract,Part of the overall increase in science funding
UK,2006,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,R&D tax credits support for companies,R&D tax credits support for companies,,,GBP,innovation_instruments,review,0.4,2006_UK.pdf,70,gpt-4o-mini,extract,Support for R&D investment in growing firms | no_amount
UK,2007,section_total,DTI,Department of Trade and Industry,Department of Trade and Industry,,DTI Science Budget,DTI Science Budget,3383.0,thousand,GBP,science_agency,review,1.0,2007_UK.pdf,183,gpt-4o-mini,extract,
UK,2007,program_total,DTI,Department of Trade and Industry,Department of Trade and Industry,,Departmental Expenditure Limits,Departmental Expenditure Limits,3383.0,thousand,GBP,science_agency,review,1.0,2007_UK.pdf,183,gpt-4o-mini,extract,
UK,2007,program_total,DfES,Department for Education and Skills,Department for Education and Skills,,DfES funding for research and knowledge transfer in English Universities,DfES funding for research and knowledge transfer in English Universities,1655.0,thousand,GBP,higher_education,review,0.8,2007_UK.pdf,183,gpt-4o-mini,extract,
UK,2007,line_item,DTI,Department of Trade and Industry,Department of Trade and Industry,,Total UK science spending,Total UK science spending,5397.0,thousand,GBP,direct_rd,include,1.0,2007_UK.pdf,183,gpt-4o-mini,extract,
UK,2007,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,"Total budget for the Department for Business, Innovation and Skills","Total budget for the Department for Business, Innovation and Skills",,billion,GBP,science_agency,review,0.4,2007_UK.pdf,184,gpt-4o-mini,extract,Total amount not specified in the text. | no_amount
UK,2007,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,R&D tax credit increase to 130%,R&D tax credit increase to 130%,0.0,thousand,GBP,direct_rd,review,0.5,2007_UK.pdf,20,gpt-4o-mini,extract,"Amount 0.000e+00 GBP out of plausible range [1e+04, 1e+11]"
UK,2007,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,SME R&D tax credit increase to 175%,SME R&D tax credit increase to 175%,0.0,thousand,GBP,direct_rd,review,0.5,2007_UK.pdf,20,gpt-4o-mini,extract,"Amount 0.000e+00 GBP out of plausible range [1e+04, 1e+11]"
UK,2007,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,R&D tax credits,R&D tax credits,450000.0,thousand,GBP,unclear,review,0.2,2007_UK.pdf,239,gpt-4o-mini,extract,
UK,2007,section_total,BEIS,"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",,Total Capital Budget DEL,Total Capital Budget DEL,44300.0,thousand,GBP,science_agency,review,0.4,2007_UK.pdf,300,gpt-4o-mini,extract,Mixed-purpose ministry; review for R&D relevance.
UK,2007,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total Resource Budget DEL,Total Resource Budget DEL,310000.0,thousand,GBP,science_agency,review,0.5,2007_UK.pdf,300,gpt-4o-mini,extract,"Amount 3.100e+11 GBP out of plausible range [1e+04, 1e+11]"
UK,2007,line_item,BEIS,"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",,Further enhancements to the SME and large company R&D tax credit schemes,Further enhancements to the SME and large company R&D tax credit schemes,,billion,GBP,direct_rd,review,0.4,2007_UK.pdf,50,gpt-4o-mini,extract,no_amount
UK,2007,line_item,BEIS,"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",,Maintaining the Government’s ambition that private and public sector R&D investment reach 2.5 per cent of GDP,Maintaining the Government’s ambition that private and public sector R&D investment reach 2.5 per cent of GDP,,billion,GBP,direct_rd,review,0.4,2007_UK.pdf,50,gpt-4o-mini,extract,no_amount
UK,2007,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Increase in the enhanced deduction element of the SME and mid-sized R&D tax credit from 150 per cent to 175 per cent from April 2008 subject to state aid clearance,Increase in the enhanced deduction element of the SME and mid-sized R&D tax credit from 150 per cent to 175 per cent from April 2008 subject to state aid clearance,,as_printed,GBP,innovation_instruments,review,0.4,2007_UK.pdf,58,gpt-4o-mini,extract,Tax credit increase for SMEs | no_amount
UK,2007,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Increase in the large company R&D tax credit from 125 per cent to 130 per cent from April 2008,Increase in the large company R&D tax credit from 125 per cent to 130 per cent from April 2008,,as_printed,GBP,innovation_instruments,review,0.4,2007_UK.pdf,58,gpt-4o-mini,extract,Tax credit increase for R&D | no_amount
UK,2007,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Collaborative R&D funding allocated by the Technology Strategy Board,Collaborative R&D funding allocated by the Technology Strategy Board,100000.0,thousand,GBP,direct_rd,review,0.9,2007_UK.pdf,70,gpt-4o-mini,extract,Funding for user-driven R&D projects.
UK,2007,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Investment by Research Councils in TSB programmes to support collaborative R&D projects,Investment by Research Councils in TSB programmes to support collaborative R&D projects,25000.0,thousand,GBP,direct_rd,include,0.9,2007_UK.pdf,70,gpt-4o-mini,extract,Investment to enhance collaborative R&D.
UK,2007,section_total,UKRI,UK Research and Innovation,UK Research and Innovation,,Total operating budget for UK Research and Innovation,Total operating budget for UK Research and Innovation,,billion,GBP,science_agency,review,0.4,2007_UK.pdf,70,gpt-4o-mini,extract,Total budget not specified in detail. | no_amount
UK,2007,line_item,UKRI,UK Research and Innovation,UK Research and Innovation,,Funding for the Energy Technologies Institute for energy research,Funding for the Energy Technologies Institute for energy research,100000.0,thousand,GBP,direct_rd,review,0.9,2007_UK.pdf,72,gpt-4o-mini,extract,Funding for energy research and development.
UK,2007,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total budget for science and innovation,Total budget for science and innovation,,billion,GBP,science_agency,review,0.4,2007_UK.pdf,8-50,gpt-4o-mini,extract,Total includes non-R&D components | no_amount
UK,2007,section_total,BEIS,"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",,Total budget for science and innovation,Total budget for science and innovation,,billion,GBP,science_agency,review,0.4,2007_UK.pdf,8-50,gpt-4o-mini,extract,Total includes non-R&D components | no_amount
UK,2008,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,"£40 million research, development and demonstration programme for low-carbon vehicles","£40 million research, development and demonstration programme for low-carbon vehicles",40000.0,thousand,GBP,direct_rd,review,0.9,2008_UK.pdf,102,gpt-4o-mini,extract,"Jointly funded by the Technology Strategy Board, EPSRC, and the Department for Transport"
UK,2008,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,"£40 million research, development and demonstration programme focusing on low-carbon vehicle concepts","£40 million research, development and demonstration programme focusing on low-carbon vehicle concepts",40000.0,thousand,GBP,direct_rd,review,0.9,2008_UK.pdf,106,gpt-4o-mini,extract,Focus on the acceleration of their commercialisation
UK,2008,program_total,"Innovation, Universities and Skills","Innovation, Universities and Skills","Innovation, Universities and Skills",,Capital DEL,Capital DEL,2000.0,thousand,GBP,research_infrastructure,review,1.0,2008_UK.pdf,206,gpt-4o-mini,extract,
