canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Grant to the Swedish Radiation Safety Authority,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)","Supports research related to radiation safety, relevant to R&D.",rd_programme,0.6,Anslag till Statens strålskyddsinstitut,1,116379.0,confidence below threshold,Sweden
Authorization for Financial Commitments for Environmental Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2020, 2020)",This relates to funding commitments for environmental research.,rd_programme,0.7,Bemyndigande om ekonomiska åtaganden för anslaget 1:5 Miljöforskning,1,102000.0,confidence below threshold,Sweden
Grants for Technology Transfer,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",This program supports the transfer of technology from research.,innovation_instruments,0.7,Bidrag till tekniköverföring,1,100000.0,confidence below threshold,Sweden
Funding Increase for 2024 and 2025,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2023, 2023)",This indicates a planned increase in funding for R&D purposes.,rd_programme,0.7,För 2024 och 2025 beräknas anslaget att öka med 100 000 000 kronor respektive 100 000 000 kronor för samma ändamål.,1,100000.0,confidence below threshold,Sweden
Distribution of Funds from 2010 Based on the Research and Innovation Proposition 2008,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2010, 2010)",This distribution is related to research and innovation funding.,rd_fund,0.7,Fördelning av medel fr.o.m. 2010 m.a.a. forsknings- och innovationspropositionen 2008,1,99000.0,confidence below threshold,Sweden
Appropriation for Research on Security Policy,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2024, 2024)","This appropriation supports research on security policy, which is R&D relevant.",rd_programme,0.7,Anslag för forskning om säkerhetspolitik,1,83358.0,confidence below threshold,Sweden
Digitalization,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2022, 2022)",This program supports research and development in digitalization initiatives.,rd_programme,0.7,Digitalisering,1,76000.0,confidence below threshold,Sweden
Prospecting in Mineral Supply,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)","This funding supports research in mineral supply, which is R&D relevant.",rd_programme,0.7,Prospektering inom mineralförsörjning,1,56300.0,confidence below threshold,Sweden
Investment of 55 Million SEK to Meet Health Challenges,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This funding is aimed at addressing health challenges through research.,rd_programme,0.7,Satsning på 55 000 000 kronor för att möta hälsoutmaningen,1,55000.0,confidence below threshold,Sweden
Grant for Research and Education at Kristianstad University,higher_education,[],"['section_total', 'program_total', 'line_item']","(2017, 2017)",This grant supports research and education at the university level.,rd_fund,0.7,Anslag för forskning och utbildning på forskarnivå vid Högskolan Kristianstad,1,47000.0,confidence below threshold,Sweden
Materials Technology Consortia,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This initiative likely supports collaborative R&D in materials technology.,rd_programme,0.7,Materialtekniska konsortier,1,45000.0,confidence below threshold,Sweden
Practice-Near School Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2021, 2024)",This program supports research in educational practices.,rd_programme,0.7,Praktiknära skolforskning,3,42228.666666666664,confidence below threshold,Sweden
Increase of 40 Million SEK in 2017 for Applied Welfare Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2017, 2017)",This funding is specifically for applied research in welfare.,rd_programme,0.7,Ökning med 40 000 000 kronor 2017 för tillämpad välfärdsforskning.,1,40000.0,confidence below threshold,Sweden
Increase in Research Grants for 2018 and 2019,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2017, 2017)","This entity indicates an increase in research funding, relevant to R&D.",rd_programme,0.7,Ökning av forskningsanslag för 2018 och 2019,1,40000.0,confidence below threshold,Sweden
Grant 1:4 Research and Development Efforts in the Cultural Sector,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2019, 2019)",This entity supports R&D efforts in the cultural sector.,rd_programme,0.7,Anslag 1:4 Forsknings- och utvecklingsinsatser inom kulturområdet,1,39500.0,confidence below threshold,Sweden
"Certain International Environmental Cooperation, Proposal Grant",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1993, 1993)",This grant supports international environmental research initiatives.,rd_programme,0.6,"Visst internationellt miljösamarbete, förslagsanslag",1,38687.0,confidence below threshold,Sweden
1:12 Practice-Based School Research - Proposal,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2024, 2024)",This proposal is related to research in educational practices.,rd_programme,0.6,1:12 Praktiknära skolforskning - Förslag,1,36043.0,confidence below threshold,Sweden
1:12 Practice-Based School Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2024, 2024)",This entity supports research in educational practices.,rd_programme,0.6,1:12 Praktiknära skolforskning,1,36043.0,confidence below threshold,Sweden
Research Services in the Humanities and Mathematical-Natural Sciences Faculties,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This entity supports research services in relevant academic fields.,rd_programme,0.7,Forskartjänster inom de humanistiska och matematisk-naturvetenskapliga fakulteterna,1,35000.0,confidence below threshold,Sweden
Support for collective research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1998, 1998)",This entity provides support for collective research initiatives.,rd_fund,0.7,"Stöd till kollektiv forskning, r",1,30000.0,confidence below threshold,Sweden
Budget increase for labor market research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2017, 2017)",This funding is aimed at research in the labor market.,rd_fund,0.7,Anslagsökning för arbetslivsforskning,1,30000.0,confidence below threshold,Sweden
Increase of 30 million SEK in 2017 for labor market research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2017, 2017)",This allocation is specifically for labor market research.,rd_fund,0.7,Ökning med 30 000 000 kronor 2017 för forskning om arbetsliv.,1,30000.0,confidence below threshold,Sweden
Grant for State Funding to SIPRI,innovation_instruments,['Stockholm International Peace Research Institute'],"['section_total', 'program_total', 'line_item']","(2020, 2020)","SIPRI conducts research on peace and conflict, relevant to R&D.",rd_fund,0.7,Anslag för statsbidrag till SIPRI,1,28402.0,confidence below threshold,Sweden
Authorization for Membership Fee in the Joint Undertaking for a European High-Performance Computing System,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2023, 2023)","This funding is related to high-performance computing, relevant to R&D.",rd_fund,0.7,Bemyndigande om medlemsavgift i det gemensamma företaget för ett europeiskt högpresterande datorsystem,1,25000.0,confidence below threshold,Sweden
Membership Fee to the Joint Undertaking for a European High-Performance Computing System,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2024, 2024)","This funding is related to high-performance computing, relevant to R&D.",rd_fund,0.7,Medlemsavgift till det gemensamma företaget för ett europeiskt högpresterande datorsystem,1,25000.0,confidence below threshold,Sweden
Membership Fee for a European High-Performance Computing System,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2019, 2019)","This funding is related to high-performance computing, relevant to R&D.",rd_fund,0.7,Medlemsavgift för ett europeiskt högpresterande datorsystem,1,25000.0,confidence below threshold,Sweden
Funding for Compensation to the Swedish Defence University for Research and Education at Doctoral Level,higher_education,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)","This funding supports research and education at a doctoral level, relevant to R&D.",rd_programme,0.7,Anslaget får användas för ersättning till Försvarshögskolan för forskning och utbildning på forskarnivå.,1,20776.0,confidence below threshold,Sweden
Funding for SGI's Research and Development,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2019, 2019)",This funding is specifically allocated for research and development at SGI.,rd_programme,0.7,För SGI:s forskning och utveckling (FoU) avsattes (tkr),1,19000.0,confidence below threshold,Sweden
EUMETSAT Participation,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",Participation in EUMETSAT involves R&D related to meteorological satellite data.,rd_programme,0.6,EUMETSAT participation,1,19000.0,confidence below threshold,Sweden
Grant for Business Development in Youth Entrepreneurship,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2025, 2025)",This funding supports research and development in youth entrepreneurship.,rd_programme,0.7,Anslag 1:5 Näringslivsutveckling till entreprenörskap bland unga,1,18000.0,confidence below threshold,Sweden
Disbursed Funds from the Wildlife Research Grant,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2019, 2019)",This funding is related to wildlife research initiatives.,rd_programme,0.6,Utbetalade medel av viltforskningsanslaget (tkr),1,18000.0,confidence below threshold,Sweden
Grant for Research and Development Expenses,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2021, 2023)",This grant explicitly allows for research and development expenditures.,rd_programme,0.7,Anslaget får även användas för utgifter för forsknings- och utvecklingsinsatser.,2,17979.5,confidence below threshold,Sweden
"Research for a Waste-Free Society: Waste Management, Reserve Grant",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1993, 1993)",This program focuses on research related to waste management.,rd_programme,0.7,"Forskning för ett avfallssnalt samhälle: Avfallshantering, reservationsanslag",1,17199.0,confidence below threshold,Sweden
Research Proposal: Distribution of New Research Grants,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This proposal relates to the distribution of research funding.,rd_programme,0.6,Forskningsprop.: fördelning nya forskningsanslag,1,16904.0,confidence below threshold,Sweden
Research for a Waste-Free Society: Environmentally Adapted Product Development,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This program supports research in environmentally friendly product development.,rd_programme,0.7,Forskning för ett avfallssnalt samhälle: Miljéanpassad produktutveckling,1,16610.0,confidence below threshold,Sweden
Environmentally Adapted Product Development,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This program supports research in product development with environmental considerations.,rd_programme,0.6,Miljöanpassad produktutveckling,1,16000.0,confidence below threshold,Sweden
European Space Cooperation,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1984, 1984)",This program involves collaboration in space-related research.,rd_programme,0.7,European space cooperation,1,15300.0,confidence below threshold,Sweden
Grant for Compensation to Universities for Artistic Research and Education at Doctoral Level,higher_education,[],"['section_total', 'program_total', 'line_item']","(2018, 2022)",This grant supports artistic research at the doctoral level.,rd_programme,0.6,Anslaget får användas för ersättning till högskolan för konstnärlig forskning och utbildning på forskarnivå.,3,15205.6,confidence below threshold,Sweden
"Promotion of Environmentally Friendly Services, Products, and Production Processes in SMEs",innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2017, 2018)",Supports R&D in sustainable practices for SMEs.,rd_programme,0.7,"Främjande av miljövänliga tjänster, produkter och produktionsprocesser i små och medelstora företag",2,14014.0,confidence below threshold,Sweden
Stockholm International Water Institute,science_agency,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)","Focuses on environmental research, indicating R&D relevance.",dedicated_rd_agency,0.7,Stockholms internationella miljöinstitut,1,12000.0,confidence below threshold,Sweden
Capital contributions linked to universities,higher_education,[],"['section_total', 'program_total', 'line_item']","(2017, 2017)",This funding supports university-linked research initiatives.,rd_fund,0.7,Kapitaltillskott knutna till universitet,1,11000.0,confidence below threshold,Sweden
Capital contribution to holding companies linked to universities,higher_education,[],"['section_total', 'program_total', 'line_item']","(2019, 2019)",This contribution supports university-related research funding.,rd_fund,0.7,Capital contribution to holding companies linked to universities for financing idea bank funds,1,11000.0,confidence below threshold,Sweden
Proposed increased investment in marine environmental research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2004, 2004)",This proposal aims to enhance funding for marine environmental research.,rd_programme,0.7,Föreslås en ökad satsning på marin miljöforskning med 10 miljoner kronor.,1,10000.0,confidence below threshold,Sweden
"Increase of 10 million SEK in 2017 for research on welfare quality, organization, and processes",direct_rd,[],"['section_total', 'program_total', 'line_item']","(2017, 2017)",This increase is aimed at welfare-related research.,rd_programme,0.7,"Ökning med 10 000 000 kronor 2017 för forskning om välfärdens kvalitet, organisering och processer.",1,10000.0,confidence below threshold,Sweden
