reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end,tax_score,score_band,filter_decision,llm_decision,llm_rationale,activity_lens,defence_scope,source_page_recovered,source_quote_verified,source_match_score
AUS_2010_001,AUS,Australia,2010,2010.0,,,,,,,,explicit,high,innovation,research_infrastructure,,,public_private,adoption,growth_supporting,"The reforms aim to enhance infrastructure, which is critical for economic growth and productivity.",high,Infrastructure Development and Reform,,False,implemented,The reforms have been put into action as part of the government's infrastructure strategy.,high,True,3,The establishment of the Building Australia Fund and the National Broadband Network represent significant structural changes in infrastructure policy.,high,"The Australian government has established the Building Australia Fund to finance infrastructure projects, transitioning to the Regional Infrastructure Fund funded by a new federal tax on mining profits. Additionally, Infrastructure Australia was created to advise on infrastructure policy and conduct audits for public and private investment needs. A major reform project has also been initiated to develop a National Broadband Network (NBN), replacing the existing copper telecommunications network with a fibre optic network managed by a public enterprise to ensure fair access for private operators.","The total cost of this projects is expected to reach AUD43 billion, with public investment expected to total AUD26 billion over eight years.",109.0,109.0,1.0,borderline,escalate_to_llm,exclude,The Building Australia Fund focuses on general infrastructure projects rather than R&D.,,,109.0,"cond) for most of the population. The total cost of this projects is expected to reach AUD43billion, with public investment expected to total AUD26billion over eight years, and the balance funded by p",0.806
AUS_2017_009,AUS,Australia,2017,,,,,,,,,,,innovation,other,,,public,unknown,growth_supporting,"By targeting support for innovations that benefit broader segments of society, the policy aims to enhance overall economic welfare.",high,Inclusive Innovation Policy,,False,implemented,Policy agendas already include measures to support innovations that can help address socio-economic gaps.,high,False,2,The focus on inclusivity in innovation policy represents a significant shift towards addressing social equity through economic measures.,medium,"The Australian government is focusing on ensuring that innovation policies are inclusive, particularly by supporting research that benefits low-to-middle income households.",Innovation policy can be inclusive in a broader sense by favouring innovation processes that bring benefits to the population at large.,73.0,73.0,2.0,borderline,escalate_to_llm,exclude,The focus is on inclusive innovation policies rather than direct R&D funding or activities.,,,73.0,"teto)ICT-relatedinnovation. Innovation policy can be inclusive in a broader sense by favouring innovation processesthatbringbenefitstothepopulationatlarge.Australianpolicyalreadydoesthis, albeit",0.77
AUS_2017_017,AUS,Australia,2017,,2016.0,explicit,high,,,,,,,innovation,innovation_instruments,,,public,adoption,growth_supporting,"This initiative enhances access to government contracts for SMEs, fostering competition and innovation in the public sector.",high,National Innovation and Science Agenda,Digital Marketplace for IT Procurement,False,announced,A digital marketplace is being established as part of the NISA initiative.,high,False,2,The establishment of a digital marketplace is a significant step towards modernizing public procurement processes and enhancing SME participation.,medium,A digital marketplace for IT procurement is being established to provide government agencies with an online directory of digital and technology services available from SME enterprises.,A 'digital marketplace' for information technology procurement is being established to provide government agencies with an online directory of digital and technology services available from SME enterprises.,,,2.5,borderline,escalate_to_llm,exclude,The digital marketplace for IT procurement does not directly relate to R&D activities.,,,97.0,"e” for information technology procurement is being established (also part of the NISA initiative). Similar to a UK programme, this will provide government agencies with an online directory of digital and technology services availablefromSMEenterprises. ● Anewprocurementpanelhasbeenestabl",0.733
AUS_2017_026,AUS,Australia,2017,2016.0,2015.0,explicit,high,2016.0,explicit,high,,explicit,high,innovation,other,,,public,unknown,growth_supporting,"By improving coordination and strategic planning in science and innovation investments, ISA is expected to enhance the overall effectiveness of Australia's innovation system.",high,Innovation and Science Australia Establishment,,False,implemented,The relevant legislation for its establishment became effective in July 2016.,high,True,3,The establishment of ISA represents a significant structural change aimed at improving the coherence and effectiveness of Australia's innovation system.,high,"The establishment of Innovation and Science Australia (ISA) aims to provide strategic whole-of-government advice on science, research, and innovation, enhancing coordination across various government departments.","A new statutory independent board, Innovation and Science Australia (ISA), was announced in December 2015, as part of the NISA, with responsibility for 'strategic whole-of-government advice on all science, research and innovation matters'.",,,2.0,borderline,escalate_to_llm,exclude,The establishment of ISA focuses on providing strategic advice rather than direct R&D funding or innovation activities.,,,132.0,"2.8. InnovationandScienceAustralia Anewstatutoryindependentboard,InnovationandScienceAustralia(ISA),wasannounced in December 2015, as part of the NISA, with responsibility for “strategic whole-of- government advice on all science, research and innovation matters” (Australian Government,2015a).Therelevantlegislationforitsestablishmen",0.792
AUS_2018_005,AUS,Australia,2018,,2018.0,explicit,high,,,,,,,innovation,innovation_instruments,,,public,applied,growth_supporting,"The fund aims to foster innovative approaches to improve labour market outcomes, which can enhance economic productivity.",high,"Try, Test and Learn Fund",Labour Market Innovation Fund,False,announced,The fund has been proposed and is in the process of being established.,medium,False,2,The fund represents a significant initiative but does not constitute a major reform of the overall labour market system.,medium,"Australia established the Try, Test and Learn Fund to test the effectiveness of innovative policies aimed at raising labour market participation.","Australia recently adopted an investment approach... and established the Try, Test and Learn Fund to be used towards testing the effectiveness of innovative policies in raising labour market participation.",83.0,83.0,1.0,borderline,escalate_to_llm,exclude,"The Try, Test and Learn Fund aims at testing innovative policies for labour market participation, which is not directly related to R&D.",,,83.0,"lfare), to further ensure the effective and efficient spending of public resources, and established the Try, Test and Learn Fund to be used towards testing the effectiveness of innovative policies in raising labour market participation. This is a welcome step, although OECD (2017c) has",0.715
AUS_2018_008,AUS,Australia,2018,2018.0,,,,2018.0,explicit,high,,inferred,low,innovation,innovation_instruments,,,public_private,applied,growth_supporting,Facilitating trials for autonomous vehicles can lead to advancements in transportation technology and urban mobility solutions.,high,Autonomous Vehicle Initiative,Autonomous Vehicle Trials,False,announced,The initiative has been proposed and is in the process of being developed.,medium,False,2,"While significant, the initiative does not represent a major overhaul of transportation policy.",medium,"Australia is encouraging autonomous vehicle trials through legislative changes and partnerships, aiming to advance readiness for self-driving technology in urban environments.",Legislation allowing automated vehicles trials passed 2018.,117.0,117.0,2.0,borderline,escalate_to_llm,exclude,"The reform focuses on legislative changes for autonomous vehicle trials, which is not primarily R&D.",,,117.0,shuttle bus at Sydney Olympic Park Victoria Legislation allowing automated vehicles trials passed 2018 Grant programme,0.652
AUS_2021_003,AUS,Australia,2021,2021.0,2021.0,explicit,high,,,,,explicit,high,innovation,human_capital,,,public_private,applied,growth_supporting,"Enhancing skills and training for the unemployed can improve employability and productivity, contributing positively to economic growth.",high,2021-22 Federal Budget Training Supports,,False,implemented,The government announced new training supports as part of the budget.,high,False,2,"The introduction of new training supports represents a significant step towards improving workforce skills, which is crucial for addressing unemployment and enhancing economic productivity.",medium,"The Australian government announced new training supports as part of the 2021-22 Federal Budget, including an extension of an apprentice wage subsidy and additional affordable training courses for young people.","As part of the 2021-22 Federal Budget, the government announced some new training supports, including an extension of an apprentice wage subsidy.",39.0,39.0,1.0,borderline,escalate_to_llm,exclude,"The reform focuses on training supports and apprenticeships, which are not directly related to R&D.",,,39.0,"tcomes are not rewarded (ibid). As part of the 2021-22 Federal Budget, the government announced some new training supports, including an extension of an apprentice wage subsidy (the Boosting Apprenticeship",0.823
AUS_2021_012,AUS,Australia,2021,2019.0,,,,,,,,explicit,high,innovation,startup_ecosystem,,,public_private,commercialization,growth_supporting,"By facilitating access to finance for smaller banks and non-bank lenders, the fund aims to lower funding costs and improve lending conditions for SMEs, thereby supporting innovation and growth.",high,Australian Business Securitisation Fund,,False,implemented,The first securitisation involving the Fund was launched in early 2021.,high,False,2,"The establishment of the fund represents a significant step towards improving the financing landscape for SMEs, which is crucial for fostering innovation and entrepreneurship.",medium,The Australian government established the Australian Business Securitisation Fund in 2019 to develop the market for securitised SME loans by investing in securitised assets and warehouses backed by loans issued by non-bank lenders and smaller banks.,The government established the Australian Business Securitisation Fund in 2019 to develop the market by investing in securitised assets and in warehouses backed by loans issued by non-bank lenders and smaller banks.,100.0,100.0,1.0,borderline,escalate_to_llm,exclude,"The reform focuses on developing the market for SME loans, which is not directly related to R&D.",,,100.0,"the structure of SME lending (Department of the Treasury, 2018). The government established the Australian Business Securitisation Fund in 2019 to develop the market by investing in securitised assets and in warehouses backed by loans issued by non-bank lenders and smaller banks. Its activity paused",0.833
AUS_2023_005,AUS,Australia,2023,2023.0,2023.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,public,adoption,growth_supporting,"Increasing childcare subsidies can enhance workforce participation, particularly among second earners, thereby boosting overall economic productivity.",high,Childcare Affordability Initiative,,False,implemented,The maximum amount of the childcare subsidy has been officially raised and the withdrawal rate adjusted.,high,False,2,"This reform represents a significant adjustment to existing childcare support mechanisms, aimed at improving access and affordability, which is crucial for enhancing labor market participation.",medium,"The Australian government has raised the maximum amount of the childcare subsidy from 85% to 90% and reduced the speed at which the subsidy is withdrawn as family incomes increase, aiming to make childcare more affordable and accessible.",The Federal government has raised the maximum amount of the childcare subsidy from 85% to 90% and reduced the speed at which the subsidy is withdrawn as family incomes increase.,94.0,94.0,1.0,borderline,escalate_to_llm,exclude,"The reform focuses on childcare subsidies, which are not related to R&D.",,,94.0,have been increasing childcare subsidies. The Federal government has raised the maximum amount of the childcare subsidy from 85% to 90% and reduced the speed at which the subsidy is withdrawn as family incomes increase. The subsidy is based on a m,0.835
AUS_2023_006,AUS,Australia,2023,2023.0,2023.0,explicit,high,,,,,explicit,high,innovation,human_capital,,,public,adoption,growth_supporting,"Enhancing parental leave policies can improve labor market outcomes for women, thereby increasing overall workforce participation and productivity.",high,Parental Leave Reform,,False,implemented,The two public payments were officially combined and new provisions for parental leave were announced.,high,False,2,"This reform significantly alters the structure of parental leave in Australia, promoting gender equality in caregiving and supporting labor market re-entry for parents.",medium,"In July 2023, the Australian government combined two public parental leave payments into a single scheme, allowing partners to claim up to 20 weeks of paid parental leave, with plans to increase this to 26 weeks by 2026.","In July 2023, the two public payments were combined, meaning that partners can now claim up to 20 weeks paid parental leave between them.",96.0,96.0,1.0,borderline,escalate_to_llm,exclude,"The reform pertains to parental leave payments, which do not relate to R&D.",,,96.0,".24, Panel A). In July 2023, the two public payments were combined, meaning that partners can now claim up to 20 weeks paid parental leave between them. Single parents are eligible for the full 20",0.82
AUS_2023_010,AUS,Australia,2023,2025.0,2023.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"Increased funding for renewable energy projects is expected to enhance energy capacity and support the transition to a cleaner energy system, which can drive economic growth.",high,Rewiring the Nation Programme,,False,announced,The government has committed around AUD 23 billion towards transforming the country’s energy system.,high,True,3,"This reform represents a significant investment in the energy sector, aiming to transform Australia's energy landscape and support the transition to renewable energy, which is crucial for long-term economic sustainability.",high,"The Australian government has committed around AUD 23 billion towards transforming the country’s energy system, including AUD 20 billion for the Rewiring the Nation programme to increase renewable energy capacity and invest in key transmission projects.",The Australian Government has committed around AUD 23 billion (1% of GDP) until the end of 2025 towards transforming the country’s energy system.,122.0,122.0,2.0,borderline,escalate_to_llm,exclude,"The focus is on transforming the energy system, not specifically on R&D funding.",,,122.0,"nk 2 https://stat.link/lsx61z The Australian Government has committed around AUD 23 billion (1% of GDP) until the end of 2025 towards transforming the country’s energy system, including AUD 20 billion for",0.823
AUS_2023_014,AUS,Australia,2023,2023.0,2023.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"The fund aims to improve energy efficiency, which can lead to lower energy costs and increased household disposable income, thereby supporting economic growth.",high,2023-24 Household Energy Upgrades Initiative,,False,implemented,The government has allocated funds for the Household Energy Upgrades Fund in the 2023-24 Budget.,high,False,2,"This funding represents a significant investment in energy efficiency, which is crucial for meeting emission targets and improving household energy performance.",medium,"The Australian government announced a AUD 1.3 billion Household Energy Upgrades Fund to support energy efficiency upgrades for households, including low-cost loans and funding for social housing improvements.","In its 2023-24 Budget, the government announced it would provide AUD 1.3 billion to the Household Energy Upgrades Fund.",140.0,140.0,2.0,borderline,escalate_to_llm,exclude,"The Household Energy Upgrades Fund focuses on energy efficiency upgrades, which do not directly support R&D.",,,140.0,"the existing building stock. In its 2023-24 Budget, the government announced it would provide AUD 1.3 billion to the Household Energy Upgrades Fund, which includes AUD1.0 billion",0.799
AUS_2023_015,AUS,Australia,2023,2023.0,2023.0,explicit,high,,,,,explicit,high,innovation,human_capital,,,public,applied,growth_supporting,"By training a skilled workforce for the renewable energy sector, the initiative supports the transition to a low-carbon economy and enhances job creation.",high,2023-24 New Energy Skills Initiative,,False,implemented,The government has allocated funds for the New Energy Apprenticeships and Skills programs in the 2023-24 Budget.,high,False,2,"This funding is significant for addressing skills shortages in the renewable energy sector, which is essential for achieving Australia's climate goals.",medium,"The federal government committed AUD 105 million to the New Energy Apprenticeships and New Energy Skills programs to deliver 10,000 energy apprentices and tailor skills training for new energy industries.",The federal government committed AUD 105 million to the New Energy Apprenticeships and New Energy Skills programs.,,,1.0,borderline,escalate_to_llm,exclude,"The primary purpose is skills training for new energy industries, which does not directly fund R&D.",,,143.0,"tions from state and territory governments, and committed AUD 105 million to the New Energy Apprenticeships and New Energy Skills programs to deliver 10,000 energy apprentice",0.75
AUS_2023_017,AUS,Australia,2023,,,,,,,,,,,innovation,rd_funding,,,public,applied,growth_supporting,Supports long-term agricultural productivity and sustainability by enhancing resilience to climate variability.,high,Future Drought Fund,,False,implemented,The fund is operational and provides annual funding for drought resilience initiatives.,high,False,2,"The fund represents a significant commitment to enhancing agricultural resilience, with ongoing funding to support various initiatives.",medium,"The Future Drought Fund provides AUD 100 million each year to help farmers and communities build drought resilience, focusing on improving climate information and planning capacity.",The Future Drought Fund provides AUD 100 million each year to help farmers and communities build drought resilience.,150.0,150.0,1.0,borderline,escalate_to_llm,exclude,The focus on building drought resilience does not primarily target R&D funding.,,,150.0,"ation of on-farm water infrastructure. The Future Drought Fund provides AUD 100 million each year to help farmers and communities build drought resilience, and has allocated a",0.788
AUS_2026_001,AUS,Australia,2026,,2022.0,explicit,high,,,,,,,innovation,innovation_instruments,,,public,adoption,growth_supporting,"By streamlining regulations and promoting MMC, the initiative aims to enhance productivity and reduce costs in the construction sector, ultimately supporting economic growth.",high,2022 Housing Accord,MMC Certification Initiative,True,announced,A national voluntary certification initiative for manufacturers of MMC is underway.,high,False,2,"The initiative represents a significant step towards modernizing construction practices in Australia, which could lead to improved efficiency and productivity in the sector.",medium,The Australian government is establishing a national voluntary certification scheme and set of standards for modern methods of construction (MMC) to provide regulatory certainty and facilitate economies of scale in the construction sector.,"A national voluntary certification initiative for manufacturers of MMC, which proposes to provide uniform national definitions of MMC for inclusion in the National Construction Code and streamline compliance, is also underway.",104.0,104.0,1.0,borderline,escalate_to_llm,exclude,"The reform focuses on establishing a certification scheme for construction methods, which does not directly relate to R&D funding or innovation instruments for firms.",,,104.0,"ting housing supply. A national voluntary certification initiative for manufacturers of MMC, which proposes to provide uniform national definitions of MMC for inclusion in the National Construction Code and streamline compliance, is also underway. Despite these efforts, progress remains piecemeal. Uptake of MMC in",0.834
AUS_2026_003,AUS,Australia,2026,,2026.0,explicit,high,,,,,,,innovation,innovation_instruments,,,public_private,adoption,growth_supporting,"The certification scheme aims to standardize practices and improve efficiency in construction, potentially leading to lower costs and increased housing supply.",high,2026 Housing Innovation Initiative,MMC Certification Scheme,True,announced,The scheme is currently under development by the Australian Building Codes Board.,high,False,2,"The certification scheme represents a significant step towards modernizing construction practices in Australia, with potential long-term benefits for productivity and sustainability.",medium,Australia is developing a voluntary national certification scheme for modern methods of construction (MMC) manufacturers to enhance productivity and sustainability in the housing sector.,Australia could foster uptake by creating a voluntary national certification scheme for MMC manufacturers (currently under development by the Australian Building Codes Board).,105.0,105.0,1.5,borderline,escalate_to_llm,exclude,"The reform is about developing a certification scheme for construction manufacturers, which is not primarily aimed at R&D or innovation funding.",,,105.0,"hemes to ensure supply meets demand. These cases suggest that Australia could foster uptake by creating a voluntary national certification scheme for MMC manufacturers (currently under development by the Australian Building Codes Board), embedd",0.831
AUS_2026_004,AUS,Australia,2026,2024.0,2022.0,explicit,high,,,,,explicit,high,innovation,sectoral_rd,,,public,commercialization,growth_supporting,"Increases the supply of affordable housing, which can enhance social equity and support economic stability.",high,National Housing Accord,Housing Australia Future Fund,True,implemented,The fund is operational and aims to support the construction of social and affordable homes.,high,True,3,"This reform represents a significant commitment to addressing the affordable housing crisis, with potential long-term impacts on social equity and economic stability.",high,"The federal government has created the Housing Australia Future Fund, an investment vehicle aimed at increasing social and affordable housing, with an initial target of supporting the construction of 40,000 homes over five years.","The federal government has also created the Housing Australia Future Fund, a dedicated investment vehicle to increase social and affordable housing.",51.0,51.0,1.0,borderline,escalate_to_llm,exclude,"The reform is focused on increasing social and affordable housing, which does not pertain to R&D.",,,51.0,"rovides financial incentives to states to boost housing supply. The federal government has also created the Housing Australia Future Fund, a dedicated investment vehicle to increase social and affordable hous",0.826
AUS_2026_005,AUS,Australia,2026,2025.0,2025.0,explicit,high,,,,,explicit,high,innovation,startup_ecosystem,,,private,adoption,growth_supporting,"Facilitates homeownership for first-time buyers, potentially stimulating the housing market and related economic activities.",high,Homebuyer Support Initiatives,5% Deposit Scheme Expansion,True,implemented,The scheme was expanded to give all first homebuyers the ability to buy with a 5% deposit.,high,False,2,"This reform significantly enhances access to homeownership for first-time buyers, addressing a critical barrier in the housing market.",medium,"The Australian Government expanded the 5% Deposit Scheme to allow all first homebuyers to purchase homes with a minimal deposit, aiming to increase homeownership accessibility.",The Australian Government 5% Deposit Scheme was expanded in October 2025 to give all first homebuyers the ability to buy with a 5% deposit.,51.0,51.0,1.0,borderline,escalate_to_llm,exclude,"The reform expands a deposit scheme for homebuyers, which does not relate to R&D.",,,51.0,"affordable homes. The Australian Government 5% Deposit Scheme (formerly the Home Guarantee Scheme) was expanded in October 2025 to give all first homebuyers the ability to buy with a 5% deposit, wit",0.817
