reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end,tax_score,score_band,filter_decision,llm_decision,llm_rationale,activity_lens,defence_scope,source_page_recovered,source_quote_verified,source_match_score,year_flag
AUS_1998_002,AUS,Australia,1998,1998.0,1998.0,explicit,high,,,,,explicit,high,innovation,startup_ecosystem,,,public_private,commercialization,growth_supporting,"These reforms aim to enhance the availability of capital for innovative firms, thereby fostering entrepreneurship and economic growth.",high,Startup Ecosystem Reforms,Venture Capital and Funding Initiatives,True,implemented,The reforms have been successfully implemented and are operational.,high,True,3,The reforms represent significant structural changes aimed at improving the startup ecosystem and access to funding.,high,"The Innovation Investment Fund programme (IIF) was established to create early-stage venture capital funds that focus on commercialising R&D, with the Australian Government contributing A$130 million to leverage private sector investment. Additionally, the Pooled Development Funds (PDFs) programme was initiated to increase the supply of patient equity capital to small and medium-sized enterprises (SMEs) through tax incentives and support. Furthermore, proposals under the Corporate Law Economic Reform Program were released to facilitate capital raising by SMEs, allowing companies to raise up to A$2 million each year from up to 20 persons without issuing a prospectus.",The Government has also recently released proposals under the Corporate Law Economic Reform Program aimed at facilitating capital raising by small and medium enterprises.,145.0,145.0,6.0,keep,keep_rule_based,include,The Innovation Investment Fund programme focuses on commercialising R&D and creating early-stage venture capital funds.,K6,,145.0,"3000potential investors will have joined. The Government has also recently released proposals under the Corporate Law Economic Reform Program aimed at facilitating capital raising by small and medium enterprises. In particular, companie",0.835,ok
AUS_1998_003,AUS,Australia,1998,,,,,,,,,,,innovation,startup_ecosystem,,,public_private,adoption,growth_supporting,"By providing essential support and resources to new businesses, these incubators help foster innovation and entrepreneurship.",high,Startup Ecosystem Reforms,Business Incubator Initiative,True,implemented,The incubators are operational and providing support to new enterprises.,high,False,2,The initiative significantly contributes to the startup ecosystem by reducing business failure rates.,medium,"Business incubators have been established to provide support to new enterprises by offering rented office or workshop space, thereby reducing the failure rate of small businesses.","Another way of facilitating the start-up phase... is the so-called business incubators, which provide rented office or workshop space to new enterprises for a limited period.",149.0,149.0,4.0,keep,keep_rule_based,include,"Business incubators support new enterprises, which can foster R&D-intensive startups.",K8,,149.0,"Another way of facilitating the start-up phase, which has gained considerable attention in recent years, is the so-called business incubators, which provide rented office or workshop space to new enterprises for a limited period. Originally gr",0.82,ok
AUS_1999_001,AUS,Australia,1999,1997.0,1997.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,private,commercialization,growth_supporting,Increased support for R&D and commercialization is expected to enhance industry performance and innovation.,high,Industry Performance Improvement Package,,False,implemented,The measures have been released and are in effect.,high,True,3,The reform represents a significant investment in R&D funding aimed at improving industry performance.,high,"The Australian Government released a package of measures costing A$ 1.3 billion aimed at improving industry performance, which includes increased support for business research and development and the commercialization of that research.",The Government released its A$ 1.3 billion Investing for Growth industry statement as part of its extensive reform agenda to deliver improved industry performance.,163.0,163.0,3.5,keep,keep_rule_based,include,The package of measures includes increased support for business research and development.,K2,,163.0,ver disputes. December The Government released its A$ 1.3 billion Investing for Growth industry statement as part of its extensive reform agenda to deliver improved industry performance. A range of well-targeted measures was int,0.834,ok
AUS_2001_001,AUS,Australia,2001,2000.0,,,,,,,,explicit,high,innovation,research_infrastructure,,,public,applied,growth_supporting,Enhancing research infrastructure supports innovation capacity and productivity growth in the long term.,high,2000 Research and Innovation Strategy,University Research Infrastructure Upgrade,False,implemented,Increased government funding was allocated for research and infrastructure upgrades.,high,False,2,"This reform represents a significant investment in research infrastructure, which is essential for fostering innovation and improving research quality.",medium,"The Australian government increased funding to encourage quality research and upgrade university research infrastructure, which is crucial for enhancing the innovation system.",Other key initiatives include increased government funding to encourage quality research and upgrade university research infrastructure.,108.0,108.0,12.5,keep,keep_rule_based,include,"The reform focuses on increasing funding to upgrade university research infrastructure, which is crucial for enhancing the innovation system.",K7,,108.0,latest available year. Source: OECD. Other key initiatives include increased government funding to encourage quality research and upgrade university research infrastructure and boosting the Co-op,0.813,ok
AUS_2001_002,AUS,Australia,2001,2000.0,2001.0,explicit,high,,,,,inferred,medium,innovation,human_capital,,,public,basic,growth_supporting,"By increasing the number of skilled graduates in critical fields, the reform aims to enhance the innovation capacity of the workforce, which can lead to higher productivity and economic growth.",high,Backing Australia's Ability,Targeted University Places Funding,False,announced,Funding is to be provided for additional targeted university places each year.,high,False,2,"This initiative represents a significant investment in human capital aimed at fostering innovation, particularly in key technological and scientific fields.",medium,"Australia's innovation system is supported by funding for additional targeted university places, prioritizing programs in ICT, mathematics, and science to enhance foundational skills necessary for successful innovation.","Funding is also to be provided for 2000 additional targeted university places each year with priority on programmes in the areas of ICT, mathematics and science.",108.0,108.0,12.0,keep,keep_rule_based,include,"Funding for additional targeted university places prioritizes programs in ICT, mathematics, and science to enhance foundational skills necessary for successful innovation.",K8,,108.0,"on of research outcomes). Funding is also to be provided for 2000additional targeted university places each year with priority on programmes in the areas of ITC, math- ematics and science, as well as to government schools to",0.819,ok
AUS_2001_003,AUS,Australia,2001,2001.0,2001.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"Increases public investment in R&D, which can enhance innovation capacity and economic growth.",high,Backing Australia’s Ability programme,,False,implemented,The programme was launched to address weaknesses in R&D and innovation.,high,True,3,"This programme represents a significant commitment to enhancing Australia's R&D infrastructure and funding, which is crucial for long-term economic growth and innovation.",high,"The Backing Australia’s Ability programme, launched in January 2001, aims to provide a comprehensive and integrated package to boost infrastructure and research funding, addressing barriers to innovation in Australia.","The Backing Australia’s Ability programme, launched in January 2001, is designed to provide a comprehensive and integrated package boosting infrastructure and research funding.",,,10.5,keep,keep_rule_based,include,The Backing Australia’s Ability programme aims to provide a comprehensive package to boost infrastructure and research funding.,K4,,18.0,"ng growth and employment potential. In this respect, the Backing Australia’s Ability programme, launched in January2001, is designed to provide a comprehensive and integrated package boosting infrastructure and research funding. It is too early t",0.829,ok
AUS_2001_005,AUS,Australia,2001,2001.0,2001.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,private,applied,growth_supporting,"By incentivizing business R&D spending, the reform aims to stimulate innovation and enhance productivity in the private sector.",high,Backing Australia’s Ability,R&D Tax Concession Reform,True,implemented,The reform is part of the broader innovation package set to be implemented.,high,False,2,"This reform significantly enhances the existing tax concession framework, aiming to boost business investment in R&D.",medium,"The R&D tax concession scheme will be reformed to enhance the 125% tax concession and introduce a premium rate of 175% for additional labor-related R&D expenditure, along with a tax rebate for small firms making a loss.","The new arrangements involve a reform of the R&D tax concession scheme, which is the principal mechanism to increase business spending on R&D in Australia.",107.0,107.0,7.0,keep,keep_rule_based,include,The reform of the R&D tax concession scheme is the principal mechanism to increase business spending on R&D in Australia.,K5,,107.0,"f ideas; and developing and maintaining Australia’s skills. The new arrangements involve a reform of the R&D tax concession scheme, which is the principal mechanism to increase business spending on R&D in Australia. I",0.833,ok
AUS_2001_006,AUS,Australia,2001,2001.0,2001.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public_private,applied,growth_supporting,"By providing targeted funding for R&D projects, the program aims to stimulate innovation and enhance collaboration between public and private sectors.",high,Backing Australia’s Ability,R&D Start Program Extension,True,implemented,The program is part of the broader innovation package set to be implemented.,high,False,2,The extension of the R&D Start program represents a significant enhancement of funding opportunities for innovative projects.,medium,"The R&D Start program will be extended to provide competitive grants for R&D projects, aiming to support innovation and research activities in various sectors.","The R&D Start program, which is primarily focused on providing grants on a competitive basis for R&D projects, will also be extended.",,,10.5,keep,keep_rule_based,include,"The R&D Start program provides competitive grants for R&D projects, supporting innovation and research activities.",K3,,107.0,"d small firms making a loss will be eligible for a tax rebate. The R&DStart program, which is primarily focused on providing grants on a competitive basis for R&D projects, will also be extende",0.81,ok
AUS_2001_010,AUS,Australia,2001,2001.0,2001.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"The investment aims to enhance research capabilities and commercialisation efforts, which can lead to increased innovation and productivity.",high,Backing Australia’s Ability,,False,implemented,The plan was released and outlines specific funding initiatives.,high,True,3,"This reform represents a significant investment in the innovation ecosystem, aiming to enhance research funding and infrastructure, which is crucial for long-term economic growth.",high,"The Government released 'Backing Australia’s Ability–An Innovation Action Plan for Australia', which outlines a strategy to promote education, research, and its commercialisation, involving an investment of A$3.0 billion over five years.","The plan outlines the next steps in the Government’s strategy to promote education, and research and its commercialisation.",183.0,183.0,2.0,borderline,escalate_to_llm,include,"The plan promotes education, research, and its commercialisation, involving a significant investment in R&D.",K4,,183.0,"an for Australia. The plan outlines the next steps in the Government’s strategy to promote education, and research and its commercialisation. It involves additional investment of A$3.",0.804,ok
AUS_2001_011,AUS,Australia,2001,2001.0,2001.0,explicit,high,,,,,explicit,high,innovation,rd_funding,research_infrastructure,,public,applied,growth_supporting,"Increasing funding for research grants and infrastructure is expected to enhance research output and innovation capacity, contributing positively to economic growth.",high,Backing Australia’s Ability,Research Council Grants and Infrastructure Funding,True,implemented,The funding initiatives were part of the released plan.,high,True,3,"This reform significantly enhances the funding landscape for research, which is critical for fostering innovation and maintaining competitiveness.",high,The plan includes a doubling of funding for Australian Research Council grants and an additional A$914 million for research infrastructure in universities and major national research facilities.,The major initiatives include a doubling of funding for Australian Research Council grants and an additional A$914 million for research infrastructure.,183.0,183.0,10.5,keep,keep_rule_based,include,The doubling of funding for Australian Research Council grants and additional funding for research infrastructure directly supports R&D.,K4,,183.0,and the develop- ment and retention of Australian skills. The major initiatives include: – a doubling of funding for Australian Research Council grants and an additional A$914million for research infrastructure,0.823,ok
AUS_2001_012,AUS,Australia,2001,2001.0,2001.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,private,applied,growth_supporting,"Supporting SMEs through R&D initiatives is likely to enhance their innovation capabilities, leading to increased productivity and economic growth.",high,Backing Australia’s Ability,R&D Start Programme Extension,True,implemented,The extension of the programme was included in the released plan.,high,False,2,"This reform is significant for SMEs, enhancing their access to R&D support, but it is part of a broader strategy rather than a standalone major reform.",medium,"The plan includes an extension of the Research and Development (R&D) Start Programme, aimed at small and medium-sized enterprises, along with reforms to the R&D tax concession.","The plan includes an extension of the Research and Development (R&D) Start Programme, targeted at small and medium-sized enterprises.",,,7.0,keep,keep_rule_based,include,The extension of the R&D Start Programme and reforms to the R&D tax concession are aimed at supporting R&D for SMEs.,K5,,183.0,"and communications technologies (ICT) and biotechnology; – an extension of the Research and Development (R&D) Start Programme, targeted at small and medium-sized enterprises; reform of the R&D",0.767,ok
AUS_2003_003,AUS,Australia,2003,2001.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,applied,growth_supporting,"The tax rebate incentivizes small businesses to invest in R&D, which can lead to innovation and economic growth.",high,R&D Offset Scheme,R&D Offset scheme,False,implemented,The scheme has been operational since its introduction in 2001.,high,True,3,The R&D Offset scheme is a major reform aimed at boosting R&D investment among small businesses.,high,"The Government introduced the R&D Offset scheme as the principal support mechanism to increase R&D performed by small businesses in Australia, providing a tax rebate for R&D expenditure.",The R&D Offset scheme is available to all companies with an annual turnover of less than A$5million.,231.0,231.0,6.0,keep,keep_rule_based,include,"The R&D Offset scheme provides a tax rebate for R&D expenditure, directly supporting R&D performed by small businesses.",K2,,231.0,mount of R&D performed by small businesses in Australia. The R&D Offset scheme is available to all companies with an annual turnover of less than A$5million. A,0.769,ok
AUS_2012_001,AUS,Australia,2012,2012.0,2012.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,public_private,applied,growth_supporting,Enhancing collaboration between researchers and businesses is expected to lead to increased innovation and productivity.,high,Innovation Collaboration Enhancement,Innovation Vouchers and Collaboration Programmes,True,announced,"The government is considering the provision of innovation vouchers and has set targets for collaboration, indicating these reforms are in the planning stage.",high,False,2,"The reform aims to significantly improve collaboration in the innovation system, which is a critical area for enhancing innovation performance.",medium,"The Australian government is considering the provision of well-designed innovation vouchers to facilitate effective connections between researchers and businesses, while also implementing programmes to support collaboration and networking between universities and businesses to enhance their impact on innovation. Additionally, the government has set a target to double the level of collaboration between researchers and businesses over the next decade, addressing the critical weakness of low collaboration in the innovation system.","Consideration should be given, fiscal savings allowing, to further measures to increase collaboration between researchers and business, such as the provision of well-designed innovation vouchers.",45.0,45.0,14.5,keep,keep_rule_based,include,"The provision of innovation vouchers aims to enhance collaboration between researchers and businesses, directly supporting innovation.",K5,,45.0,"rcetheirimpactoninnovation. ● Consideration should be given, fiscal savings allowing, to further measures to increase collaborationbetweenresearchersandbusiness,suchastheprovisionofwell-designed innovationvouchersforcontractingacademicresearchasacomplementtogovernment’s co",0.782,ok
AUS_2012_003,AUS,Australia,2012,2011.0,,,,2011.0,explicit,high,,explicit,high,innovation,sectoral_rd,,,public_private,applied,growth_supporting,Investing in renewable energy and clean technologies is expected to drive innovation and create jobs in the green sector.,high,Clean Energy Innovation,,False,implemented,The Clean Energy Legislative Package and the Clean Energy Futures Plan have been adopted and are in force.,high,True,3,These reforms represent a significant commitment to green innovation and investment in the renewable energy sector.,high,"The Clean Energy Legislative Package and the Clean Energy Futures Plan were adopted to promote innovation, commercialization, and investment in renewable energies and energy efficiency. The Clean Energy Finance Corporation is set to invest AUD 10 billion in renewable energy and clean technologies, supporting green innovation.","The Clean Energy Futures Plan, aiming to boost green innovation, is another welcome initiative towards new commercialisation activity.",118.0,118.0,4.0,keep,keep_rule_based,include,"The Clean Energy Legislative Package promotes innovation and investment in renewable energies, supporting sectoral R&D.",K2,,118.0,"iew. The adoption in 2011 of the Clean Energy Futures Plan, aiming to boost green innovation, is another welcome initiative towards new commercialisation activity.The Clean Energy Finance Corpor",0.817,ok
AUS_2012_004,AUS,Australia,2012,2012.0,2012.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,private,commercialization,growth_supporting,"These reforms are designed to enhance the financial viability of SMEs and startups, promoting innovation and economic growth.",high,SME and Startup Support,Corporate Loss Carry-Back Reform,False,implemented,"Both reforms have been implemented, providing immediate financial relief and support for innovation.",high,True,3,The transition to a tax credit system for R&D represents a major reform in how innovation is supported financially.,high,"The Australian Government introduced a corporate loss carry-back reform, allowing firms to offset current-year losses against previously taxed profits, which is particularly beneficial for SMEs and innovative startups facing new challenges. Additionally, the R&D tax regime was transitioned from tax deductions to a tax credit, significantly increasing assistance rates for smaller firms and expanding access to foreign companies.","The corporate loss carry-back reform will not only have beneficial effects on the level and quality of capital investment, but...may also bolster the automatic stabilisers in the economy.",79.0,80.0,1.0,borderline,escalate_to_llm,include,"The transition of the R&D tax regime to a tax credit significantly increases assistance for R&D, directly supporting innovation.",K2,,80.0,"1. ADJUSTINGTOTHEMININGBOOMANDASIANDEVELOPMENT effects on the level and quality of capital investment, but, depending on how firms reallocatetheirtaxburdensovertime,itmayalsobolstertheautomaticstabilisersinthe economy. In Australia, these stabilisers are relati",0.509,ok
