reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end,event_id,n_mentions,mention_survey_years,mention_ids
AUS_2017_011,AUS,Australia,2017,2016.0,2016.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public_private,commercialization,growth_supporting,"By providing targeted funding to bridge the gap between early and late-stage research, the fund enhances the commercialization potential of biomedical innovations, contributing to economic growth.",high,Biomedical Innovation Support,Biomedical Translation Fund,True,implemented,The fund is being financed by redirecting initial capital contributions from the Medical Research Future Fund.,high,False,2,"This fund represents a significant but targeted intervention to support the biomedical sector, which is crucial for innovation in health and medical research.",medium,"Australia has introduced a Biomedical Translation Fund to facilitate the transition of firms from early to late-stage biomedical research, addressing the so-called 'valley of death' in funding.",This government-financed fund facilitates firms transition between early and late-stage biomedical research.,,,EVT_AUS_2016_0028,2,"1988,2017","AUS_2017_011,AUS_1988_001"
AUS_2017_004,AUS,Australia,2017,2017.0,,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"By aligning funding with collaboration incentives, the reform is expected to enhance research quality and relevance, ultimately benefiting economic productivity.",high,2017 University Research Funding Reform,,False,implemented,The new funding system has been operational since early 2017.,high,True,3,"This reform represents a significant structural change in how university research is funded, promoting collaboration and responsiveness, which are critical for enhancing innovation outcomes.",high,"A new simplified funding system for university research began operating in early 2017, where federal block grants are determined solely by income from competitive grants and other sources, now given equal weight. This reform aims to increase universities' incentives to collaborate and make government competitive grants more responsive to applicants' needs.","A new simplified funding system for university research began operating in early 2017, in which federal block grants for research are determined solely by income from two categories, competitive grants and other sources.",,,EVT_AUS_2017_0029,2,"2017,2021","AUS_2017_004,AUS_2021_019"
AUS_2018_002,AUS,Australia,2018,2018.0,,,,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"The substantial investment is expected to boost R&D activities, leading to innovation and economic growth.",high,National R&D Investment,2018-19 Budget R&D Funding,True,implemented,The funding has been allocated and is being utilized for various R&D initiatives.,high,True,3,This reform represents a major structural change in public funding for R&D in Australia.,high,"The Australian government announced a significant AUD 2.4 billion investment in research, science, and technology capabilities as part of the 2018-19 Budget, aligning with the recommendations from the report 'Australia 2030 Prosperity through Innovation'. This funding reform aims to enhance the overall research and development landscape in Australia.",The government - under the Quality Schools package - will be gradually increasing the total funding and altering allocation formulae for federal-government grants to schools.,100.0,100.0,EVT_AUS_2018_0031,1,2018,AUS_2018_002
AUS_2018_003,AUS,Australia,2018,2018.0,2018.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,private,applied,growth_supporting,"By enhancing the R&D Tax Incentive, the government aims to stimulate private sector investment in R&D, which can lead to increased innovation and economic growth.",high,R&D Tax Incentive Reform,R&D Tax Incentive Enhancements,True,implemented,"The reforms have been enacted and are currently in effect, with adjustments made to the R&D Tax Incentive.",high,True,3,The reform represents a significant change in how R&D tax incentives are structured and administered.,high,Reforms to the R&D Tax Incentive aim to enhance its effectiveness in promoting new R&D activities while improving program integrity and administration. The government has announced a refocus of the incentive towards supporting high-intensity R&D to better align with public funding objectives.,Recent policy moves have included announced reforms to refocus the R&D Tax Incentive towards supporting high-intensity R&D.,,,EVT_AUS_2018_0032,2,"2018,2021","AUS_2018_003,AUS_2021_005"
AUS_2014_002,AUS,Australia,2014,2019.0,2014.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,public_private,applied,growth_supporting,"Expanding the innovation voucher programme is expected to foster collaboration between industry and researchers, leading to increased innovation and economic resilience.",high,Innovation Voucher Programme Expansion,,False,implemented,The programme has been expanded and is currently operational as of 2019.,high,False,2,The expansion of the innovation voucher programme represents a significant but narrower change aimed at enhancing innovation support.,medium,"The South Australian government intends to expand its innovation voucher programme as part of a broader plan to help the economy following the announced closure of car assembly plants, aiming to encourage collaboration between industry and researchers.",The South Australian government intends to expand its voucher programme as part of a broader plan to help the economy following the announced closure of car assembly plants.,,,EVT_AUS_2019_0035,1,2014,AUS_2014_002
AUS_2018_001,AUS,Australia,2018,2019.0,2017.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,public_private,applied,growth_supporting,"The initiative aims to enhance urban infrastructure and technology, which can lead to increased productivity and improved living conditions.",high,Smart Cities Initiative,Smart Cities Plan,True,implemented,The program has been actively providing funding for projects aimed at improving urban environments.,high,False,2,The initiative represents a significant investment in urban technology but does not constitute a major overhaul of existing systems.,medium,"The Australian government's 'Smart Cities Plan' aims to provide greater federal support and guidance for developing and implementing technological solutions to urban issues, including co-financing for technology-based projects through the 'Smart Cities and Suburbs Programme' with a commitment of AUD 28.5 million. This initiative focuses on smart investment, policy, and technology to improve urban environments.","The federal government is implementing the 'Smart Cities Plan', which aims to provide greater federal-government support and steerage on developing and implementing technological solutions to infrastructure and other issues in urban areas.",,,EVT_AUS_2019_0036,1,2018,AUS_2018_001
AUS_2021_008,AUS,Australia,2021,2020.0,2020.0,explicit,high,,,,,explicit,high,innovation,sectoral_rd,,,public,applied,growth_supporting,"The investment in clean technologies is expected to enhance productivity and innovation in carbon-intensive sectors, contributing to economic growth.",high,Technology Investment Roadmap,,False,implemented,The roadmap has been released and outlines government investment plans.,high,True,3,"This reform represents a significant shift in government policy towards targeted investment in clean technologies, which is crucial for meeting climate goals and fostering innovation.",high,"The Australian government has released the Technology Investment Roadmap, which identifies key areas for technological development to reduce emissions, guiding AUD20 billion of government investment over the next decade.","In 2020, the government released the Technology Investment Roadmap that identified five key areas where technological developments could reduce emissions in Australia’s most carbon-intensive sectors.",64.0,64.0,EVT_AUS_2020_0039,1,2021,AUS_2021_008
AUS_2021_006,AUS,Australia,2021,2021.0,2021.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,private,commercialization,growth_supporting,"The patent box aims to attract and retain innovative firms in the medical and biotechnology sectors, promoting investment and job creation in high-value industries.",high,2021 Patent Box Initiative,,False,announced,In the 2021-22 Budget the Government announced a patent box to encourage companies to develop and apply their medical and biotechnology innovations in Australia.,high,False,2,"While the patent box is a significant incentive for specific sectors, it is a targeted reform rather than a comprehensive overhaul of the innovation system.",medium,"The Government introduced a patent box to incentivize the development and application of medical and biotechnology innovations in Australia, taxing profits from these innovations at a concessional rate.",In the 2021-22 Budget the Government announced a patent box to encourage companies to develop and apply their medical and biotechnology innovations in Australia.,48.0,48.0,EVT_AUS_2021.0_1601,1,2021,AUS_2021_006
AUS_2021_010,AUS,Australia,2021,2021.0,2021.0,explicit,high,,,,,explicit,high,innovation,research_infrastructure,,,public_private,adoption,growth_supporting,"Improving charging infrastructure is essential for increasing electric vehicle adoption, which can lead to reduced emissions and foster innovation in the automotive sector.",high,Future Fuels Strategy,Charging Infrastructure Investment,True,announced,The federal government recently announced co-investment with the private sector.,high,False,2,"This investment is significant as it targets a critical barrier to electric vehicle adoption, which is essential for achieving broader environmental goals.",medium,"The federal government announced co-investment with the private sector from the AUD71.9 million Future Fuels Fund to address charging blackspots and demonstrate hydrogen refuelling infrastructure, aiming to enhance electric vehicle adoption.",The federal government recently announced co-investment with the private sector from the AUD71.9 million Future Fuels Fund to address 'charging blackspots' and to demonstrate hydrogen refuelling infrastructure.,67.0,67.0,EVT_AUS_2021.0_1602,1,2021,AUS_2021_010
AUS_2026_008,AUS,Australia,2026,2024.0,2024.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"The strategy aims to enhance domestic manufacturing capabilities in energy storage, which can drive innovation and economic growth in the renewable energy sector.",high,National Battery Strategy,,False,implemented,The National Battery Strategy was published and is backed by funding.,high,True,3,"The National Battery Strategy represents a significant shift towards enhancing Australia's capabilities in energy storage, which is crucial for the transition to renewable energy and has broad economic implications.",high,"The federal government published its first National Battery Strategy, identifying manufacturing energy storage systems as a high-value opportunity for Australia’s domestic battery manufacturing industry, backed by substantial funding.","In May 2024 the federal government published its first National Battery Strategy (NBS), which identifies manufacturing energy storage systems as a high-value opportunity for Australia’s domestic battery manufacturing industry.",61.0,61.0,EVT_AUS_2024_0053,1,2026,AUS_2026_008
AUS_2026_011,AUS,Australia,2026,2026.0,2025.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,public,applied,growth_supporting,"This fund is designed to stimulate innovation across various sectors, enhancing productivity and economic growth.",high,Future Made in Australia,Future Made in Australia Innovation Fund,False,announced,The AUD 1.5 billion Future Made in Australia Innovation Fund is only due to start this year.,high,True,3,"This fund represents a major commitment to innovation funding, targeting key sectors that are crucial for Australia's economic transformation.",high,"The AUD 1.5 billion Future Made in Australia Innovation Fund is set to start this year, aimed at fostering innovation in priority sectors.",The AUD 1.5 billion Future Made in Australia Innovation Fund is only due to start this year.,65.0,65.0,EVT_AUS_2026.0_1610,1,2026,AUS_2026_011
AUS_1979_001,AUS,Australia,1979,,,,,,,,,,,innovation,rd_funding,,,public,applied,growth_supporting,"Enhancing industrial research and development is expected to boost productivity and competitiveness in the manufacturing sector, leading to economic growth.",high,Crawford Report Recommendations,Increased Assistance for Industrial R&D,False,announced,The Crawford Report was released with recommendations for government assistance.,high,False,2,"The recommendation for increased assistance represents a significant policy direction aimed at enhancing R&D in the industrial sector, which is crucial for economic competitiveness.",medium,The Crawford Report on structural adjustment recommended increased government assistance for industrial research and development to promote a more export-oriented manufacturing sector.,The Crawford Report on structural adjustment was released. The report contained a number of recommendations designed to promote the development of a more export-oriented manufacturing sector including... increased government assistance for industrial research and development.,55.0,55.0,EVT_AUS_nan_1611,1,1979,AUS_1979_001
AUS_1980_001,AUS,Australia,1980,,,,,,,,,,,innovation,rd_funding,,,public,applied,growth_supporting,"Enhancing funding for industrial R&D is expected to boost innovation and competitiveness in the manufacturing sector, leading to economic growth.",high,Crawford Report Recommendations,Increased Assistance for Industrial R&D,False,announced,The Crawford Report contained a number of recommendations designed to promote the development of a more export-oriented manufacturing sector.,high,False,2,"The recommendation for increased government assistance for industrial R&D is significant as it aims to enhance the competitiveness of the manufacturing sector, which is crucial for economic growth.",medium,The Crawford Report on structural adjustment recommended increased government assistance for industrial research and development to promote a more export-oriented manufacturing sector.,The Crawford Report on structural adjustment was released. The report contained a number of recommendations designed to promote the development of a more export-oriented manufacturing sector including... increased government assistance for industrial research and development.,66.0,66.0,EVT_AUS_nan_1612,1,1980,AUS_1980_001
AUS_1987_001,AUS,Australia,1987,,,,,,,,,,,innovation,innovation_instruments,,,public_private,applied,growth_supporting,"The tax deduction incentivizes private R&D investment, while the committee fosters collaboration, both of which enhance innovation and productivity.",high,R&D Incentives and Industry Collaboration,R&D Tax Deduction and Industry Committee,True,implemented,The tax deduction and committee have been operational since their introduction.,high,True,3,The introduction of a significant tax incentive and the establishment of a committee represent major structural changes in the innovation policy landscape.,high,"The Australian Government introduced a 150 percent tax deduction for R&D and established a Standing Committee on Tertiary Education/Industry relationships to enhance cooperation between the higher education system and industry needs, aiming to induce research and development through cooperative ventures.",A Standing Committee on Tertiary Education/Industry relationships was established in late 1985 to indicate areas where the higher education system can become more responsive to industry needs.,,,EVT_AUS_1987_0061,1,1987,AUS_1987_001
AUS_1988_002,AUS,Australia,1988,,,,,,,,,,,innovation,rd_funding,,,private,applied,growth_supporting,"The tax deduction is designed to incentivize private sector investment in R&D, which is expected to enhance innovation and productivity.",high,R&D Tax Incentive,,False,announced,The reform was introduced in 1985 and is set to change in 1991.,high,True,3,The introduction of a significant tax incentive for R&D represents a major reform in the funding landscape for private sector innovation.,high,"The Government introduced a 150 per cent R&D expenditure deduction against tax in 1985 to promote increased private sector R&D spending, which will be reduced to 100 per cent from July 1991.",The Government introduced in 1985 the 150 per cent R&D expenditure deduction against tax to promote increased private sector R&D spending.,52.0,52.0,EVT_AUS_nan_1615,1,1988,AUS_1988_002
AUS_1994_002,AUS,Australia,1994,,1991.0,explicit,high,,,,,,,innovation,knowledge_transfer,,,public_private,applied,growth_supporting,"The establishment of Co-operative Research Centres is aimed at enhancing collaboration between sectors, which can lead to innovation and economic growth.",high,Co-operative Research Centres Initiative,,False,announced,The formation of Co-operative Research Centres has been officially announced.,high,False,2,The initiative represents a significant effort to enhance collaboration in research but is not as transformative as the tax concession reform.,medium,"The Government announced the formation of up to 62 Co-operative Research Centres to promote joint research by universities, government, and industry.","In 1991 the Government announced the formation of up to 62 Co-operative Research Centres designed to promote joint research by universities, government and industry.",76.0,76.0,EVT_AUS_nan_1617,1,1994,AUS_1994_002
AUS_1995_001,AUS,Australia,1995,,1995.0,explicit,high,,,,,,,innovation,sectoral_rd,,,public,applied,growth_supporting,"The establishment of advisory committees and funding centres is expected to enhance the efficiency and effectiveness of health technology management, leading to better health outcomes and cost savings.",high,Health Technology Reform Package,Health Technology Advisory and Funding Centres,True,announced,Both initiatives have been announced but not yet implemented.,high,False,2,These reforms represent significant but narrower changes aimed at improving health technology evaluation and funding.,medium,"The Australian Health Technology Advisory Committee was established to evaluate existing and emerging medical technologies, providing recommendations to governments and health providers to manage costs and benefits effectively. Additionally, the National Funded Centres programme was created to manage high-cost medical interventions, ensuring concentration of skills and controlling costs through capped grants.",The Australian Health Technology Advisory Committee was established under the auspices of the National Health and Medical Research Council to evaluate existing and emerging technologies.,,,EVT_AUS_nan_1618,1,1995,AUS_1995_001
AUS_2017_008,AUS,Australia,2017,,,,,,,,,,,innovation,knowledge_transfer,,,public_private,applied,growth_supporting,"Facilitates the transfer of knowledge from research institutions to businesses, enhancing innovation and productivity.",high,Innovation-Driven Productivity Strategy,,False,implemented,The policy framework supports collaboration between research institutions and the business sector.,high,False,2,"The policy enhances existing frameworks for collaboration, which is crucial for driving innovation in the economy.",medium,"Australia's innovation policy aims to enhance productivity by fostering collaboration between universities and the business sector, particularly through commissioned and collaborative research.",Research carried out by Australian universities and research institutes most directly impacts domestic productivity when these institutions work with the business sector.,,,EVT_AUS_2017_0042,1,2017,AUS_2017_008
AUS_2017_019,AUS,Australia,2017,,,,,,,,,,,innovation,knowledge_transfer,,,public_private,commercialization,growth_supporting,"Enhances collaboration between research and industry, leading to improved innovation outcomes and economic growth.",high,Cooperative Research Centres Programme,,False,implemented,The programme has been ongoing since the early 1990s and continues to operate with government support.,high,True,3,"The programme represents a significant structural initiative to enhance collaboration between research and industry, with substantial economic impacts.",high,"The Cooperative Research Centres programme has received over AUD 4 billion in government support, with additional contributions from stakeholders, aimed at fostering collaboration between research and industry sectors.","Since the Cooperative Research Centres programme began in the early 1990s, government has provided over AUD 4 billion in support.",115.0,115.0,EVT_AUS_2017_0043,1,2017,AUS_2017_019
AUS_2017_002,AUS,Australia,2017,,2016.0,explicit,high,,,,,,,innovation,innovation_instruments,,,private,applied,growth_supporting,"By enhancing the R&D Tax Incentive, the government aims to stimulate private sector investment in research and development, which can lead to increased innovation and productivity.",high,R&D Tax Incentive Reform,R&D Tax Incentive Enhancement,False,announced,The reform was proposed in the 2016-17 Budget.,high,False,2,This reform is significant as it aims to improve the effectiveness of a key instrument for promoting R&D in the private sector.,medium,The government plans to make the R&D Tax Incentive more effective by combining an eligibility threshold with an increase in the expenditure cap.,"Make the R&D Tax Incentive more effective, for instance by combining an eligibility threshold with an increase in the expenditure cap.",,,EVT_AUS_nan_1623,1,2017,AUS_2017_002
AUS_2017_006,AUS,Australia,2017,,2016.0,explicit,high,,,,,,,innovation,innovation_instruments,,,private,commercialization,growth_supporting,"This reform aims to enhance the commercialization of innovative technologies, potentially leading to increased productivity and economic growth.",high,Clean Energy Innovation Fund,,False,announced,The authorities have announced the establishment of the Clean Energy Innovation Fund.,high,True,3,"This reform represents a significant shift in funding strategy for green innovation, which could have lasting impacts on the sector and the economy.",high,"Australia is shifting from grant-based support to equity and debt support for green innovation through the establishment of the Clean Energy Innovation Fund, which will provide loans or take equity stakes in companies commercializing emerging technologies.","Changes are underway to reduce grant-based support and increase equity and debt support for green innovation through a new fund, the Clean Energy Innovation Fund.",57.0,57.0,EVT_AUS_nan_1624,1,2017,AUS_2017_006
AUS_2017_007,AUS,Australia,2017,,2015.0,explicit,high,,,,,,,innovation,rd_funding,,,public,applied,growth_supporting,"By increasing investment in R&D, the agenda is expected to drive productivity growth and innovation across various sectors.",high,National Innovation and Science Agenda,,False,announced,The NISA was officially announced to reform Australia's innovation landscape.,high,True,3,"The NISA represents a comprehensive approach to reforming Australia's innovation ecosystem, aiming for significant improvements in R&D investment and productivity.",high,Australia's National Innovation and Science Agenda (NISA) aims to enhance the country's innovation capacity and productivity through targeted policy instruments that boost R&D activity.,Australia's National Innovation and Science Agenda (NISA) is adding fresh impetus to reform.,,,EVT_AUS_nan_1625,1,2017,AUS_2017_007
AUS_2017_018,AUS,Australia,2017,,2016.0,explicit,high,,,,,,,innovation,research_infrastructure,,,public,applied,growth_supporting,"This initiative aims to enhance Australia's digital capabilities, which can lead to increased innovation and productivity across sectors.",high,National Innovation and Science Agenda,Data61 Digital Research Unit,False,announced,"The NISA proposes to establish a publicly funded digital research unit, Data61.",high,False,2,"The creation of Data61 represents a significant investment in digital research infrastructure, which is essential for fostering innovation in the digital economy.",medium,"The establishment of a publicly funded digital research unit, Data61, aims to develop and apply new digital technologies for government and business by combining two existing bodies.",The NISA proposes to establish a publicly funded digital research unit ('Data61') by combining two current bodies.,,,EVT_AUS_nan_1629,1,2017,AUS_2017_018
AUS_2017_025,AUS,Australia,2017,,2016.0,explicit,high,,,,,,,innovation,innovation_instruments,,,public_private,applied,growth_supporting,Encouraging collaboration between businesses and research institutions is expected to generate spillovers and enhance productivity.,high,R&D Tax Incentive Reform,R&D Tax-Credit Premium for Collaboration,True,announced,The government could consider introducing an R&D tax-credit premium for business expenditure on collaborative research.,high,False,2,"This reform aims to enhance the existing R&D Tax Incentive by promoting collaboration, which is crucial for innovation and productivity.",medium,The Australian government is considering introducing an R&D tax-credit premium for business expenditure on collaborative research with publicly funded research organisations to enhance the effectiveness of the R&D Tax Incentive.,The government could consider introducing an R&D tax-credit premium for business expenditure on collaborative research with publicly funded research organisations.,,,EVT_AUS_nan_1631,1,2017,AUS_2017_025
AUS_2017_027,AUS,Australia,2017,,2016.0,explicit,high,,,,,,,innovation,innovation_instruments,,,public_private,unknown,growth_supporting,"By fostering collaboration and coordination, ISA is expected to enhance the effectiveness of innovation policies and increase stakeholder support.",high,Innovation and Science Australia Initiative,,False,announced,The establishment of ISA was officially announced as part of the government's strategy.,high,True,3,"The creation of ISA represents a significant structural change in the governance of Australia's innovation system, aiming for a more integrated approach.",high,"The establishment of Innovation and Science Australia (ISA) aims to create a coordinated approach to science, research, and innovation, enhancing collaboration between government, industry, and community sectors.","ISA will also continue to perform the work of its predecessor, including the administration, monitoring, oversight and operation of programs such as the R&D Tax Incentive.",,,EVT_AUS_nan_1632,1,2017,AUS_2017_027
