canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Expenditure under the Environment Protection (Alligator Rivers Region) Act,science_agency,[],"['section_total', 'program_total', 'line_item']","(1989, 1990)",This expenditure may support environmental research and protection initiatives.,rd_programme,0.5,1.—For expenditure under the Environment Protection (Alligator Rivers Region) Act 1978,2,3130.915,confidence below threshold,Australia
Asian Studies,higher_education,[],"['section_total', 'program_total', 'line_item']","(1996, 1996)",This program supports research and education in Asian studies.,higher_education,0.7,Asian Studies,1,3059.0,confidence below threshold,Australia
Australian Microwave Landing System,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1985, 1985)",This program involves R&D for aviation technology.,rd_programme,0.7,Australian microwave landing system—Commercial development,1,2527.729,confidence below threshold,Australia
Meat and Livestock Industry Marketing Innovations Grant,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1990, 1990)",This grant supports innovations in the meat and livestock sector.,rd_fund,0.5,Meat and Live-stock Industry—Marketing innovations grant,1,2500.0,confidence below threshold,Australia
National Soil Conservation Program,science_agency,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This program is focused on soil conservation research.,rd_programme,0.7,National Soil Conservation Program (for payment to the National Soil Conservation Program Trust Account),1,2454.0,confidence below threshold,Australia
National Health Advancement Program,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)",This program likely involves health-related research and development.,rd_programme,0.7,National Health Advancement Program,1,2400.0,confidence below threshold,Australia
Road Safety Promotion and Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1986, 1986)",This program includes research components related to road safety.,rd_programme,0.7,Road safety promotion and research,1,2037.491,confidence below threshold,Australia
"Increased Innovation, Investment and Trade Programme",innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2005, 2006)","This programme aims to enhance innovation and trade, which can involve R&D.",rd_programme,0.5,"through increased innovation, investment and trade",2,1430.0,confidence below threshold,Australia
National Measurement Act Expenditure,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1993)","This expenditure supports measurement standards, relevant to R&D.",rd_programme,0.7,1.— For expenditure under the National Measurement Act 1960 — Operating expenses,2,1359.6,confidence below threshold,Australia
Australian Film Development Corporation Expenditure,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1975, 1976)","This expenditure supports film development, which can include R&D aspects.",rd_programme,0.6,1.—For expenditure under the Australian Film Development Corporation Act,2,1357.0,confidence below threshold,Australia
Post-graduate students funding,higher_education,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",Funding for post-graduate students can support R&D activities.,higher_education,0.7,Post-graduate students,1,1244.513,confidence below threshold,Australia
National Measurement Act 1960 Expenditure,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1989, 1989)",This expenditure supports measurement standards which are essential for R&D.,rd_programme,0.6,1.—For expenditure under the National Measurement Act 1960—Recurrent expenditure,1,1211.0,confidence below threshold,Australia
Heavy Engineering Industry Modernisation Program,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1988, 1988)",This program may support modernization efforts that include R&D components.,innovation_instruments,0.5,Heavy Engineering Industry Modernisation Program,1,1183.154,confidence below threshold,Australia
Road Safety and Standards Authority,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1977, 1977)",This authority is involved in research and standards related to road safety.,rd_programme,0.6,ROAD SAFETY AND STANDARDS AUTHORITY,1,1173.658,confidence below threshold,Australia
Coal Exploration,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1975, 1975)",This involves research and development in the energy sector.,rd_programme,0.7,Coal exploration,1,1000.0,confidence below threshold,Australia
International Fund for Agricultural Development,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1978, 1978)",This fund supports agricultural development projects that may include R&D components.,rd_fund,0.7,International Fund for Agricultural Development,1,1000.0,confidence below threshold,Australia
